popularity,image,speechiness,rank,href,year,acousticness,danceability,preview,energy,tempo,instrumentalness,key,duration_ms,name,artist,liveness,explicit,mode,time_signature,loudness,valence
37,https://i.scdn.co/image/1a0f95f7c2cfc01d170824a6d17308176f91bd5c,0.0373,50,https://open.spotify.com/track/0aE88kbyvVtBx9lcyv95fe,1965,0.586,0.334,,0.474,118.248,0,5,191200,Go Now,The Moody Blues,0.144,0,0,3,-11.959,0.635
38,https://i.scdn.co/image/ba5bea74d4552d2a4335e2ff24f3bbbe10201b0c,0.0416,51,https://open.spotify.com/track/6NGe9yGadOvtx0XRePVRdo,1965,0.265,0.401,https://p.scdn.co/mp3-preview/5ce5db85510d9830979e59574712b0bb55da81e3?cid=b1f28da8553c44beb65edac3ed1abac7,0.446,103.906,0,4,168733,Goldfinger,Shirley Bassey,0.298,0,1,4,-9.646,0.425
31,https://i.scdn.co/image/e6fb244225dcfd5dc8368a64f55b911e05a6a866,0.0457,52,https://open.spotify.com/track/2wTdZ6wy0AJp5LcYzWcVt5,1965,0.492,0.675,https://p.scdn.co/mp3-preview/bd9b5312350b50f9998b193d6308920cae11ef1f?cid=b1f28da8553c44beb65edac3ed1abac7,0.588,82.949,9.45e-06,9,153146,Down in the Boondocks,Billy Joe Royal,0.0953,0,1,4,-11.031,0.94
20,https://i.scdn.co/image/e3989673cc44c221e002642253598789d2985a11,0.0303,53,https://open.spotify.com/track/6bZKOc50K0nlfNAPleAlkA,1965,0.873,0.56,https://p.scdn.co/mp3-preview/5ec386e2902bd02df321f55723deaf05796ab9cb?cid=b1f28da8553c44beb65edac3ed1abac7,0.529,109.787,0,4,139040,"Baby the Rain Must Fall - From the Columbia Film ""Baby the Rain Must Fall""",Glenn Yarbrough,0.361,0,1,4,-10.105,0.498
9,https://i.scdn.co/image/8d94b6217f9408bf3b6343d3128d230275cd93b6,0.031,54,https://open.spotify.com/track/1rxYZ5m7TucfiI1Pu22LNp,1965,0.0186,0.496,https://p.scdn.co/mp3-preview/2099369af095a5a8261b9afb649a3660c29465d4?cid=b1f28da8553c44beb65edac3ed1abac7,0.565,149.463,0.000664,7,114165,Catch Us If You Can (In the Style of Dave Clark Five) [Performance Track with Demonstration Vocals],Done Again,0.186,0,1,4,-6.801,0.571
54,https://i.scdn.co/image/863e2f879a99e4afb084a6d0eb39ef37e596d5d2,0.038,55,https://open.spotify.com/track/1Dg4dFJr3HW7sbA7vPejre,1965,0.412,0.652,,0.583,138.134,0,9,163600,Eight Days A Week - Remastered,The Beatles,0.119,0,1,4,-7.811,0.744
26,https://i.scdn.co/image/83edaa59b78df06156cb9efd38aaba32497b8e53,0.0394,56,https://open.spotify.com/track/4PXJjX7PQGzCh4G5WR4Pli,1965,0.165,0.591,https://p.scdn.co/mp3-preview/73758a918c528985c634315b1aa6623d25c8f0cc?cid=b1f28da8553c44beb65edac3ed1abac7,0.611,128.241,3.71e-05,9,145506,Just A Little,The Beau Brummels,0.114,0,0,4,-9.179,0.655
11,https://i.scdn.co/image/d67001e7fc62f1864660095dd4a9df59c1dce2ee,0.0395,57,https://open.spotify.com/track/1qLkTAzxVkneRbIcIAvgEA,1965,0.254,0.738,https://p.scdn.co/mp3-preview/64e63473ae09f6b3124e4b8965f69e79b466c995?cid=b1f28da8553c44beb65edac3ed1abac7,0.804,94.015,0.00755,10,163666,You Turn Me On,Ian Whitcomb,0.0608,0,1,4,-8.55,0.924
25,https://i.scdn.co/image/69c220642275f07a2f567d535d33e867dfd882fe,0.0319,58,https://open.spotify.com/track/471yG3FpXwgKcbNlblZ1Yt,1965,0.189,0.726,,0.57,133.658,0,2,166200,I'll Be Doggone,Marvin Gaye,0.0799,0,1,4,-10.037,0.78
26,https://i.scdn.co/image/fbe9bc36f3e2f80ab46bc4d0144ce2bb21cd4a1f,0.0268,59,https://open.spotify.com/track/3t0BNaPKjRyekNdpd3GiR2,1965,0.106,0.63,,0.272,105.754,0,2,119840,Save Your Heart For Me,Gary Lewis & The Playboys,0.0654,0,1,4,-10.338,0.591
